Actor1/Actress1	Actor2/Actress2
STENBORG, HELEN	BIVENS, J.B.
MACNEILLE, TRESS	CHAMBERS, LOSSEN
FRANCO, DAVE	KELLY, MATTHEW ROBERT
FLEMYNG, JASON	BOSCO, PHILIP (I)
RESLER, FRED	MOORE, JACK (IV)
WOLFE, JEFF (I)	IMPERIOLI, MICHAEL
STUDI, WES	BARBER, GILLIAN (I)
MARENGO, GISELLA	JACKSON, ANDREW (II)
ESCOBAR, DANIEL (I)	BRIDDELL, JON
FORD DAVIES, OLIVER	RUSSO, GIANNI (I)
BLEU, CORBIN	BARBER, GILLIAN (I)
PRESSMAN, DAVID (I)	NIELSEN, ROBIN (I)
PRIMUS, BARRY (I)	STRUFFOLINO, DAVID
FUGIT, LANETTE	BARBER, GILLIAN (I)
BIRCHARD, PAUL (I)	SHEEDY, ALLY
SHAMOS, JEREMY	DRAKE, JUDITH
SBARGE, RAPHAEL	BARBER, GILLIAN (I)
CASTELLITTO, SERGIO	BARTY, BILLY
PARROTT, BILLY	LITHGOW, JOHN (I)
HARELIK, MARK	BARBER, GILLIAN (I)
STERLING, MINDY	CRYER, JON
ARKIN, ALAN	HAEUSER, RUSSELL M.
ROBERTS, JULIA (I)	BARBER, GILLIAN (I)
GAULT, WILLIE	HOLLY, LAUREN
CLENDENIN, CURT	HAYDEN, LUKE
SANDLER, JACKIE (I)	BARBER, GILLIAN (I)
TAYLOR, BUCK (I)	LIPTON, PEGGY
PODELL, EYAL	BEDFORD LLOYD, JOHN
PLATT, OLIVER	BARBER, GILLIAN (I)
ROBARDS, JASON	POUNDER, CCH
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
FRANKLE, ANDREA	BARBER, GILLIAN (I)
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
WALTON-WALKER, PEGGY	RENNISON, COLLEEN
HOLMES, KATIE	BARBER, GILLIAN (I)
BORTH, MICHELLE	BOSCO, PHILIP (I)
GALLAGHER, PETER (I)	GOODMAN, DANA (II)
KOSAKA, PETER	BARBER, GILLIAN (I)
WILSON, DON 'THE DRAGON'	EVANS, ART (I)
PRICE, MATT (I)	O'BRYAN, SEAN (I)
OKAMURA, GERALD	BARBER, GILLIAN (I)
YU, KELVIN (I)	HOUSTON, GARY (I)
PERKINS, ELIZABETH (I)	BARBER, GILLIAN (I)
LUV, FREEZ	LYMAN, WILL
BLAIR, BILL (III)	BARBER, GILLIAN (I)
WARNOCK, DONALD	MULLALLY, MEGAN
CHAPMAN, KEVIN (I)	BARBER, GILLIAN (I)
SCOTT, ANNELIZA	ROLLE, ESTHER
ANDERSON, ANTHONY (I)	BARBER, GILLIAN (I)
SHEARMAN, ALAN	THIGPEN, LYNNE
AHMED, AHMED (I)	BARBER, GILLIAN (I)
KNEELAND, KATIE (II)	CALABRETTA, TONY
DIMAGGIO, JOHN	BARBER, GILLIAN (I)
UTAY, WILLIAM	GEORGESON, TOM
HARE, KEVIN (I)	BARBER, GILLIAN (I)
O'BRIEN, SHAUNA (I)	MACANINCH, CAL
TEMPLE, LEW	BARBER, GILLIAN (I)
ASQUITH-COE, LEE	STERNE, DAVID
FRIEDMAN, PETER (I)	BARBER, GILLIAN (I)
TOM, STEVE (I)	BAYNE, LAWRENCE
MESSURI, LORIDAWN	BARBER, GILLIAN (I)
MCCONCHIE, MARK	DIXON, TIM (I)
JEMISON, EDDIE	BARBER, GILLIAN (I)
TAYLOR, PAUL T.	JACKSON, DEE JAY
ROLLINS, HENRY	BARBER, GILLIAN (I)
BOYLE, PETER (I)	MANCUSO, NICK (I)
BEINBRINK, WILL	BARBER, GILLIAN (I)
ZIEGLER, IRENE	REDMOND, SARAH-JANE
LAMBERT, VICKY	BARBER, GILLIAN (I)
O'BRIEN, BRENNA (II)	TERZO, VENUS
SMITH, LOIS (I)	BARBER, GILLIAN (I)
GUNNING, LESLIE	BRIDDELL, JON
HENNESSY, JILL	BARBER, GILLIAN (I)
WILSON, SCOTT (I)	GUINEE, TIM
MULKEY, CHRIS (I)	BARBER, GILLIAN (I)
WILLINGHAM, TRAVIS	ROSS, MATT (I)
GERENA, CHUCK	BARBER, GILLIAN (I)
BRUMMETT, CHAD (I)	BEEVERS, GEOFFREY
MCDONALD, DA'VONE	BARBER, GILLIAN (I)
PAPAJOHN, MICHAEL	GOUGH, MICHAEL (I)
FURST, GRIFF	BARBER, GILLIAN (I)
KATZ, JUDAH	MCGOVERN, BARRY
ADAM, MARK (III)	BARBER, GILLIAN (I)
MAHON, MICHAEL C.	STEVENSON, JULIET
NICHOLAS, THOMAS IAN	BARBER, GILLIAN (I)
VANG, LEE (I)	BRADSHAW, ANDY (I)
EDELSTEIN, LISA (I)	BARBER, GILLIAN (I)
PUGSLEY, DON	HALLAHAN, CHARLES
MCSHANE, JAMIE	BARBER, GILLIAN (I)
KRAUSE, BRIAN (I)	PRETTEN, PHILIP
BUTZ, NORBERT LEO	BARBER, GILLIAN (I)
AGUILLARD, RHONDA FLOYD	WHEATON, WIL
BROWN, KEVIN (I)	BARBER, GILLIAN (I)
TURK, BRIAN	HEIMAN, JESSE
COOK, A.J.	BARBER, GILLIAN (I)
CAINE, MICHAEL (I)	PHILLIPS, LOU DIAMOND
CHANDLER, JOHN DAVIS	BARBER, GILLIAN (I)
MIXON, JAMAL	BENING, ANNETTE
HAGEN, DANIEL (I)	BARBER, GILLIAN (I)
LYSY, AUSTIN	HUNT, BONNIE
